escuela,region,distrito,total_matricula,curso,nivel,pct_estudiantes
20 DE SEPTIEMBRE DE 1988,HUMACAO,FAJARDO,218,espa,basico,37.61
ABELARDO DIAZ ALFARO,SAN JUAN,SAN JUAN II,135,espa,basico,27.27
ABELARDO DIAZ ALFARO,BAYAMON,TOA BAJA,576,espa,basico,45.34
ABELARDO DIAZ MORALES,CAGUAS,GURABO,656,espa,basico,44.27
ABELARDO MARTINEZ OTERO,ARECIBO,ARECIBO,465,espa,basico,28.69
ABRAHAM LINCOLN,PONCE,PONCE,211,espa,basico,25.71
ABRAHAM LINCOLN,SAN JUAN,SAN JUAN I,178,espa,basico,48.75
ABRAHAM LINCOLN,BAYAMON,COROZAL,385,espa,basico,41.4
ADALBERTO SANCHEZ MORALES,CAGUAS,GUAYAMA,467,espa,basico,4.24
ADELA BRENES TEXIDOR,CAGUAS,GUAYAMA,340,espa,basico,50
ADELA ROLON FUENTES,BAYAMON,TOA BAJA,703,espa,basico,40.26
ADOLFINA IRIZARRY DE PUIG,BAYAMON,TOA BAJA,628,espa,basico,41.25
ADOLFO BABILONIA,MAYAGUEZ,SAN SEBASTIAN,322,espa,basico,36.16
ADOLFO GRANA RIVERA,PONCE,YAUCO,270,espa,basico,31.85
ADRIAN TORRES TORRES,PONCE,UTUADO,387,espa,basico,34.93
ADRIANNE SERRANO,HUMACAO,FAJARDO,NA,espa,basico,NA
AGAPITO ROSARIO ROSARIO,ARECIBO,VEGA ALTA,447,espa,basico,37.11
AGRICOLA DE BUCARABONES,BAYAMON,TOA BAJA,NA,espa,basico,NA
AGRIPINA SEDA,PONCE,YAUCO,274,espa,basico,34.2
AGUSTIN ACEVEDO HERNANDEZ,MAYAGUEZ,SAN SEBASTIAN,211,espa,basico,47.06
AGUSTIN CABRERA,SAN JUAN,CAROLINA,465,espa,basico,52.5
AGUSTIN FERNANDEZ COLON,CAGUAS,CIDRA,159,espa,basico,36.47
AIBONITO BELTRAN,MAYAGUEZ,SAN SEBASTIAN,120,espa,basico,22.22
ALBERT EINSTEIN,SAN JUAN,SAN JUAN II,425,espa,basico,58.82
ALBERTO MELENDEZ,BAYAMON,OROCOVIS,511,espa,basico,48.94
ALCIDES FIGUEROA,MAYAGUEZ,AGUADILLA,284,espa,basico,9.82
ALEJANDRO JR CRUZ,BAYAMON,TOA BAJA,204,espa,basico,34.21
ALEJANDRO JR CRUZ,SAN JUAN,GUAYNABO,123,espa,basico,2.2
ALEJANDRO TAPIA Y RIVERA,MAYAGUEZ,CABO ROJO,101,espa,basico,23.08
ALEJANDRO TAPIA Y RIVERA,SAN JUAN,SAN JUAN II,305,espa,basico,46.56
ALEJANDRO TAPIA Y RIVERA,SAN JUAN,GUAYNABO,310,espa,basico,42.03
ALFONSO CASTA  MARTINEZ,HUMACAO,YABUCOA,369,espa,basico,48.05
ALFONSO DIAZ LEBRON,HUMACAO,LAS PIEDRAS,334,espa,basico,45.27
ALFONSO LOPEZ O'NEILL,CAGUAS,CIDRA,222,espa,basico,43.18
ALMACIGO ALTO II,PONCE,YAUCO,135,espa,basico,26.47
ALMACIGO BAJO I Y BAJO II,PONCE,YAUCO,125,espa,basico,22.22
ALTINENCIA VALLE,BAYAMON,TOA BAJA,595,espa,basico,46.52
AMALIA EXPOSITO,SAN JUAN,CAROLINA,267,espa,basico,26.63
AMALIA H MANGUAL,CAGUAS,GURABO,101,espa,basico,23.91
